iter	Passed	Remaining
0	140	139984
1	145	72742
2	150	50173
3	155	38767
4	160	31948
5	165	27407
6	170	24126
7	174	21665
8	176	19484
9	181	17978
10	186	16746
11	190	15712
12	195	14866
13	200	14113
14	205	13480
15	210	12950
16	213	12365
17	217	11858
18	221	11460
19	225	11056
20	228	10647
21	231	10303
22	236	10038
23	240	9798
24	245	9573
25	250	9375
26	253	9139
27	258	8968
28	261	8770
29	266	8620
30	271	8484
31	276	8352
32	281	8234
33	283	8062
34	288	7947
35	290	7787
36	295	7681
37	297	7524
38	301	7440
39	303	7292
40	308	7206
41	312	7120
42	316	7041
43	318	6927
44	320	6796
45	324	6727
46	328	6661
47	331	6578
48	333	6466
49	337	6407
50	341	6357
51	344	6289
52	349	6245
53	352	6170
54	356	6126
55	361	6090
56	365	6051
57	370	6012
58	374	5978
59	379	5942
60	381	5869
61	385	5837
62	390	5806
63	394	5772
64	396	5700
65	400	5667
66	403	5620
67	407	5591
68	412	5562
69	416	5533
70	419	5486
71	423	5460
72	427	5434
73	432	5410
74	437	5390
75	441	5367
76	445	5345
77	449	5313
78	454	5293
79	458	5275
80	463	5257
81	468	5239
82	472	5225
83	475	5183
84	478	5148
85	483	5136
86	488	5123
87	492	5099
88	496	5085
89	501	5071
90	504	5037
91	509	5024
92	514	5013
93	518	5001
94	523	4991
95	527	4969
96	530	4940
97	535	4930
98	539	4908
99	544	4898
100	548	4878
101	552	4867
102	556	4847
103	561	4836
104	566	4824
105	568	4792
106	573	4784
107	578	4774
108	582	4762
109	587	4751
110	591	4741
111	595	4722
112	599	4709
113	604	4699
114	609	4688
115	613	4678
116	618	4668
117	623	4658
118	627	4648
119	630	4624
120	633	4601
121	636	4582
122	641	4571
123	645	4557
124	649	4548
125	654	4538
126	658	4529
127	663	4521
128	668	4512
129	673	4505
130	678	4498
131	682	4491
132	686	4475
133	691	4466
134	695	4459
135	700	4452
136	705	4444
137	710	4437
138	715	4431
139	720	4423
140	724	4414
141	729	4407
142	732	4391
143	737	4382
144	739	4362
145	744	4354
146	749	4346
147	753	4338
148	757	4325
149	761	4316
150	766	4308
151	771	4301
152	773	4280
153	778	4274
154	782	4267
155	787	4260
156	792	4252
157	796	4244
158	801	4237
159	805	4230
160	810	4223
161	815	4217
162	819	4210
163	824	4204
164	829	4195
165	832	4182
166	836	4170
167	840	4161
168	844	4153
169	848	4141
170	852	4133
171	857	4125
172	859	4106
173	863	4098
174	868	4092
175	872	4084
176	876	4076
177	881	4068
178	885	4061
179	888	4048
180	892	4040
181	897	4032
182	901	4023
183	905	4014
184	908	4002
185	912	3994
186	916	3986
187	921	3978
188	924	3966
189	928	3958
190	933	3952
191	937	3945
192	942	3938
193	946	3932
194	950	3925
195	955	3918
196	959	3910
197	963	3903
198	965	3885
199	969	3878
200	973	3868
201	975	3854
202	980	3848
203	981	3831
204	986	3825
205	990	3819
206	994	3809
207	999	3804
208	1001	3789
209	1005	3782
210	1009	3775
211	1014	3769
212	1016	3754
213	1020	3746
214	1023	3736
215	1027	3729
216	1031	3723
217	1036	3717
218	1040	3709
219	1043	3699
220	1045	3685
221	1049	3676
222	1053	3670
223	1057	3664
224	1063	3664
225	1068	3660
226	1075	3662
227	1083	3667
228	1086	3659
229	1092	3657
230	1097	3652
231	1103	3654
232	1110	3654
233	1116	3654
234	1121	3651
235	1124	3638
236	1129	3637
237	1135	3634
238	1141	3633
239	1143	3620
240	1148	3617
241	1151	3606
242	1156	3602
243	1161	3600
244	1167	3597
245	1172	3593
246	1175	3582
247	1179	3577
248	1183	3569
249	1187	3561
250	1190	3551
251	1192	3539
252	1197	3535
253	1202	3532
254	1206	3524
255	1208	3512
256	1213	3508
257	1216	3500
258	1221	3495
259	1226	3491
260	1231	3487
261	1236	3482
262	1241	3477
263	1244	3470
264	1247	3459
265	1252	3455
266	1253	3442
267	1257	3434
268	1262	3431
269	1267	3427
270	1272	3422
271	1275	3414
272	1280	3410
273	1285	3405
274	1288	3395
275	1292	3391
276	1297	3386
277	1301	3381
278	1306	3376
279	1311	3371
280	1314	3363
281	1318	3358
282	1320	3345
283	1324	3340
284	1326	3328
285	1330	3322
286	1334	3316
287	1338	3310
288	1342	3301
289	1346	3296
290	1350	3290
291	1354	3285
292	1359	3280
293	1364	3276
294	1366	3265
295	1369	3257
296	1372	3249
297	1375	3240
298	1380	3235
299	1384	3230
300	1389	3226
301	1393	3221
302	1397	3213
303	1401	3208
304	1406	3203
305	1410	3200
306	1416	3197
307	1420	3190
308	1424	3185
309	1429	3181
310	1434	3177
311	1438	3172
312	1442	3167
313	1444	3156
314	1449	3152
315	1454	3147
316	1456	3139
317	1461	3134
318	1466	3130
319	1470	3125
320	1474	3118
321	1478	3113
322	1482	3108
323	1487	3102
324	1491	3097
325	1494	3090
326	1498	3085
327	1503	3079
328	1507	3074
329	1511	3068
330	1515	3063
331	1519	3057
332	1523	3052
333	1526	3044
334	1531	3039
335	1532	3029
336	1536	3023
337	1541	3018
338	1545	3013
339	1550	3009
340	1554	3003
341	1558	2998
342	1563	2994
343	1567	2988
344	1569	2979
345	1573	2974
346	1578	2969
347	1582	2964
348	1586	2959
349	1590	2954
350	1594	2949
351	1598	2943
352	1603	2938
353	1607	2932
354	1611	2927
355	1615	2921
356	1619	2917
357	1623	2910
358	1627	2905
359	1631	2900
360	1635	2895
361	1640	2890
362	1644	2885
363	1648	2879
364	1652	2875
365	1657	2870
366	1661	2865
367	1665	2860
368	1669	2855
369	1674	2850
370	1678	2845
371	1682	2840
372	1685	2833
373	1690	2829
374	1692	2820
375	1695	2813
376	1699	2808
377	1704	2804
378	1708	2799
379	1712	2794
380	1717	2790
381	1719	2781
382	1723	2776
383	1727	2771
384	1731	2766
385	1735	2760
386	1739	2754
387	1743	2749
388	1747	2744
389	1751	2739
390	1755	2734
391	1757	2725
392	1761	2720
393	1766	2716
394	1770	2711
395	1774	2706
396	1778	2701
397	1783	2697
398	1787	2692
399	1791	2687
400	1795	2682
401	1799	2677
402	1803	2672
403	1807	2667
404	1811	2661
405	1814	2655
406	1819	2650
407	1823	2645
408	1827	2640
409	1831	2635
410	1835	2631
411	1839	2625
412	1844	2621
413	1847	2614
414	1851	2609
415	1855	2605
416	1859	2600
417	1863	2595
418	1867	2589
419	1871	2584
420	1876	2580
421	1880	2575
422	1884	2570
423	1887	2563
424	1890	2557
425	1894	2552
426	1898	2548
427	1904	2544
428	1909	2541
429	1914	2537
430	1919	2533
431	1924	2529
432	1928	2525
433	1933	2521
434	1938	2517
